key,observations,trades,wins,win_rate,wilson_low,wilson_high,break_even,edge_abs,posterior_prob_edge_positive
0,248,0,0,0.0,0.0,1.0,0.0,0.0,0.0
1,247,0,0,0.0,0.0,1.0,0.0,0.0,0.0
2,248,0,0,0.0,0.0,1.0,0.0,0.0,0.0
3,247,0,0,0.0,0.0,1.0,0.0,0.0,0.0
4,248,168,4,0.023809523809523808,0.009296969097757676,0.05961300380752253,0.015,0.008809523809523809,0.8879690442877811
5,247,247,1,0.004048582995951417,0.0007150137688097524,0.022572989496996237,0.015748987854251013,-0.011700404858299596,0.09693012331869721
6,248,248,5,0.020161290322580645,0.008641570420160682,0.04631996095511648,0.01588709677419355,0.004274193548387095,0.7932867244671125
7,247,247,3,0.012145748987854251,0.004139014492136274,0.035095307087697376,0.014979757085020244,-0.002834008097165993,0.48990795627331185
8,248,248,6,0.024193548387096774,0.011134068463583651,0.05176896264803571,0.015483870967741935,0.008709677419354838,0.905452253276233
9,247,247,18,0.0728744939271255,0.046590277645534334,0.11224143128950673,0.01263157894736842,0.060242914979757076,0.9999999993178424
