key,observations,trades,wins,win_rate,wilson_low,wilson_high,break_even,edge_abs,posterior_prob_edge_positive
1c:B0,110,0,0,0.0,0.0,1.0,0.0,0.0,0.0
1c:B1,53,0,0,0.0,0.0,1.0,0.0,0.0,0.0
1c:B2,27,4,0,0.0,0.0,0.48990002040399916,0.01,-0.01,0.9509900498999999
1c:B3,89,89,0,0.0,0.0,0.04137800296418846,0.01,-0.01,0.40473197267834626
1c:B4,51,51,0,0.0,0.0,0.07004901388726806,0.01,-0.01,0.5929664464014897
1c:B5,35,35,1,0.02857142857142857,0.005061361365853362,0.1453340909327131,0.01,0.018571428571428572,0.9496543882494188
1c:B6,36,36,0,0.0,0.0,0.09642183044857634,0.01,-0.01,0.6894490858690758
1c:B7,44,44,0,0.0,6.938893903907228e-18,0.08029831778201396,0.01,-0.01,0.6361854860638563
1c:B8,65,65,1,0.015384615384615385,0.002720874527486622,0.08213479413797146,0.01,0.005384615384615385,0.8585618623730096
1c:B9,109,109,18,0.1651376146788991,0.1070860342222884,0.24598942730962886,0.01,0.15513761467889908,1.0
2c:B2,2,0,0,0.0,0.0,1.0,0.0,0.0,0.0
2c:B3,10,10,0,0.0,0.0,0.2775401687666166,0.02,-0.02,0.8007313507497955
2c:B4,25,25,0,0.0,0.0,0.13319649395317873,0.02,-0.02,0.5913954351833128
2c:B5,25,25,0,0.0,0.0,0.13319649395317873,0.02,-0.02,0.5913954351833128
2c:B6,26,26,3,0.11538461538461539,0.04003171821149494,0.28976293086898336,0.02,0.09538461538461539,0.9980567694139144
2c:B7,48,48,9,0.1875,0.10191276348200173,0.31940139348846214,0.02,0.1675,0.9999999587695634
2c:B8,45,45,18,0.4,0.27024679447957545,0.5454840579085527,0.02,0.38,1.0
3c:B3,11,0,0,0.0,0.0,1.0,0.0,0.0,0.0
3c:B4,33,0,0,0.0,0.0,1.0,0.0,0.0,0.0
3c:B5,50,0,0,0.0,0.0,1.0,0.0,0.0,0.0
3c:B6,48,0,0,0.0,0.0,1.0,0.0,0.0,0.0
3c:B7,18,0,0,0.0,0.0,1.0,0.0,0.0,0.0
97c:B1,17,0,0,0.0,0.0,1.0,0.0,0.0,0.0
97c:B2,6,0,0,0.0,0.0,1.0,0.0,0.0,0.0
98c:B1,14,0,0,0.0,0.0,1.0,0.0,0.0,0.0
98c:B2,9,0,0,0.0,0.0,1.0,0.0,0.0,0.0
99c:B1,26,0,0,0.0,0.0,1.0,0.0,0.0,0.0
99c:B2,66,0,0,0.0,0.0,1.0,0.0,0.0,0.0
