key,observations,trades,wins,win_rate,wilson_low,wilson_high,break_even,edge_abs,posterior_prob_edge_positive
1c:B0,143,0,0,0.0,0.0,1.0,0.0,0.0,0.0
1c:B1,118,0,0,0.0,0.0,1.0,0.0,0.0,0.0
1c:B2,123,0,0,0.0,0.0,1.0,0.0,0.0,0.0
1c:B3,120,0,0,0.0,0.0,1.0,0.0,0.0,0.0
1c:B4,120,84,2,0.023809523809523808,0.006553765293517748,0.0827160112132854,0.01,0.013809523809523808,0.9460163685486401
1c:B5,105,105,0,0.0,0.0,0.035295328256842964,0.01,-0.01,0.34461218334745447
1c:B6,102,102,0,0.0,0.0,0.03629574760774591,0.01,-0.01,0.355160814705062
1c:B7,124,124,0,0.0,0.0,0.030049686487027695,0.01,-0.01,0.28470777327317365
1c:B8,112,112,2,0.017857142857142856,0.004910708625338288,0.062781726562021,0.01,0.007857142857142856,0.8952074842171021
1c:B9,182,182,8,0.04395604395604396,0.022438613577560693,0.08432757870662112,0.01,0.03395604395604396,0.9998908012044967
2c:B0,105,0,0,0.0,0.0,1.0,0.0,0.0,0.0
2c:B1,129,0,0,0.0,0.0,1.0,0.0,0.0,0.0
2c:B2,125,0,0,0.0,0.0,1.0,0.0,0.0,0.0
2c:B3,127,0,0,0.0,0.0,1.0,0.0,0.0,0.0
2c:B4,128,84,2,0.023809523809523808,0.006553765293517748,0.0827160112132854,0.02,0.003809523809523808,0.7580378229684062
2c:B5,142,142,1,0.007042253521126761,0.0012441822045132188,0.03881023299663651,0.02,-0.012957746478873239,0.21798869562083223
2c:B6,146,146,5,0.03424657534246575,0.014714906477450593,0.07765997473043827,0.02,0.014246575342465751,0.9240267638463965
2c:B7,123,123,3,0.024390243902439025,0.00832891348479355,0.06926077317951848,0.02,0.004390243902439025,0.7629751748801734
2c:B8,136,136,4,0.029411764705882353,0.011495676995744348,0.07318298800808856,0.02,0.009411764705882352,0.8588415979246695
2c:B9,65,65,10,0.15384615384615385,0.08577002061798975,0.26055545700019456,0.02,0.13384615384615386,0.9999999201944618
