price_bucket,b_decile,fills,wins,pnl,filled,avg_b_ratio,avg_model,avg_be,risk,win_rate,roi
1c,4,3,0,-7.220300000000001,722.0300000000001,1.4589556655771663,0.014589556655771663,0.01,7.220300000000001,0.0,-1.0
1c,5,6,0,-14.8274,1482.74,3.125034544304937,0.03125034544304937,0.01,14.827399999999999,0.0,-1.0000000000000002
1c,6,5,0,-24.3355,2433.55,6.041741091822447,0.060417410918224466,0.01,24.3355,0.0,-1.0
1c,7,5,0,-21.6108,2161.08,12.078638342348594,0.12078638342348594,0.01,21.6108,0.0,-1.0
1c,8,8,0,-28.298099999999998,2829.81,24.264771365093612,0.24264771365093613,0.01,28.298099999999998,0.0,-1.0
1c,9,12,0,-27.5849,2758.49,54.47184723834068,0.5447184723834069,0.01,27.584899999999998,0.0,-1.0000000000000002
2c,4,21,0,-186.02020000000002,9301.01,1.524454104926907,0.030489082098538137,0.02,186.02020000000002,0.0,-1.0
2c,5,30,0,-231.32356666,11566.178333,2.9994586576261497,0.05998917315252299,0.02,231.32356666,0.0,-1.0
2c,6,31,0,-242.40758878000003,12120.379439,6.035335937145136,0.12070671874290272,0.02,242.40758878,0.0,-1.0000000000000002
2c,7,25,0,-193.1211808,9656.059039999998,11.782347685080959,0.23564695370161917,0.02,193.1211808,0.0,-1.0
2c,8,27,0,-219.3425954,10967.12977,22.713430931093423,0.45426861862186846,0.02,219.3425954,0.0,-1.0
2c,9,16,3,935.9156634000003,7202.709330000001,41.64959827270646,0.8329919654541292,0.02,144.0541866,0.1875,6.496969546596991
